COMPARE095				COMPARE		No DB ID found
COMPARE096				COMPARE		No DB ID found
COMPARE097				COMPARE		No DB ID found
COMPARE098				COMPARE		No DB ID found
COMPARE154				COMPARE		No DB ID found
COMPARE155				COMPARE		No DB ID found
COMPARE156				COMPARE		No DB ID found
COMPARE152				COMPARE		No DB ID found
COMPARE151				COMPARE		No DB ID found
COMPARE174				COMPARE		No DB ID found
COMPARE175				COMPARE		No DB ID found
COMPARE100				COMPARE		No DB ID found
COMPARE209				COMPARE		No DB ID found
COMPARE211				COMPARE		No DB ID found
COMPARE214				COMPARE		No DB ID found
COMPARE216				COMPARE		No DB ID found
COMPARE217				COMPARE		No DB ID found
COMPARE219				COMPARE		No DB ID found
COMPARE221				COMPARE		No DB ID found
COMPARE223				COMPARE		No DB ID found
COMPARE224				COMPARE		No DB ID found
COMPARE228				COMPARE		No DB ID found
COMPARE229				COMPARE		No DB ID found
COMPARE230				COMPARE		No DB ID found
COMPARE231				COMPARE		No DB ID found
COMPARE232				COMPARE		No DB ID found
COMPARE233				COMPARE		No DB ID found
COMPARE234				COMPARE		No DB ID found
COMPARE235				COMPARE		No DB ID found
COMPARE236				COMPARE		No DB ID found
COMPARE237				COMPARE		No DB ID found
COMPARE238				COMPARE		No DB ID found
COMPARE239				COMPARE		No DB ID found
COMPARE240				COMPARE		No DB ID found
COMPARE241				COMPARE		No DB ID found
COMPARE242				COMPARE		No DB ID found
COMPARE243				COMPARE		No DB ID found
COMPARE244				COMPARE		No DB ID found
COMPARE245				COMPARE		No DB ID found
COMPARE246				COMPARE		No DB ID found
COMPARE188				COMPARE		No DB ID found
COMPARE189				COMPARE		No DB ID found
COMPARE210				COMPARE		No DB ID found
COMPARE212				COMPARE		No DB ID found
COMPARE213				COMPARE		No DB ID found
COMPARE182				COMPARE		No DB ID found
COMPARE183				COMPARE		No DB ID found
COMPARE184				COMPARE		No DB ID found
COMPARE185				COMPARE		No DB ID found
COMPARE215				COMPARE		No DB ID found
COMPARE218				COMPARE		No DB ID found
COMPARE220				COMPARE		No DB ID found
COMPARE222				COMPARE		No DB ID found
COMPARE225				COMPARE		No DB ID found
COMPARE226				COMPARE		No DB ID found
COMPARE227				COMPARE		No DB ID found
COMPARE190				COMPARE		No DB ID found
COMPARE191				COMPARE		No DB ID found
COMPARE192				COMPARE		No DB ID found
COMPARE193				COMPARE		No DB ID found
COMPARE194				COMPARE		No DB ID found
COMPARE195				COMPARE		No DB ID found
COMPARE196				COMPARE		No DB ID found
COMPARE197				COMPARE		No DB ID found
COMPARE198				COMPARE		No DB ID found
COMPARE199				COMPARE		No DB ID found
COMPARE200				COMPARE		No DB ID found
COMPARE201				COMPARE		No DB ID found
COMPARE202				COMPARE		No DB ID found
COMPARE203				COMPARE		No DB ID found
COMPARE204				COMPARE		No DB ID found
COMPARE205				COMPARE		No DB ID found
COMPARE206				COMPARE		No DB ID found
COMPARE207				COMPARE		No DB ID found
COMPARE208				COMPARE		No DB ID found
COMPARE186				COMPARE		No DB ID found
COMPARE187				COMPARE		No DB ID found
				WHO/IUIS	viewallergen.php?aid=986	
Amb a 7.0101				WHO/IUIS	viewallergen.php?aid=38	
Amb t 8.0101				WHO/IUIS	viewallergen.php?aid=1043	
Ani s 11.0201				WHO/IUIS	viewallergen.php?aid=706	
Asp fl 13.0101				WHO/IUIS	viewallergen.php?aid=120	
Asp n 18.0101				WHO/IUIS	viewallergen.php?aid=122	
Aspa o 1.01				WHO/IUIS	viewallergen.php?aid=126	
Aspa o 1.02				WHO/IUIS	viewallergen.php?aid=126	
Bos d 7.0101				WHO/IUIS	viewallergen.php?aid=165	
Bra o 3.0101				WHO/IUIS	viewallergen.php?aid=169	
Cas s 8.0101				WHO/IUIS	viewallergen.php?aid=187	
Cit r 3.0101				WHO/IUIS	viewallergen.php?aid=209	
Cit s 7.0101				WHO/IUIS	viewallergen.php?aid=875	
Cla h 2.0101				WHO/IUIS	viewallergen.php?aid=216	
				WHO/IUIS	viewallergen.php?aid=231	
Cte f 3.0101				WHO/IUIS	viewallergen.php?aid=249	
Cur l 1.0101				WHO/IUIS	viewallergen.php?aid=256	
Cyn d 1.0102				WHO/IUIS	viewallergen.php?aid=259	
Cyn d 1.0103				WHO/IUIS	viewallergen.php?aid=259	
Cyn d 1.0104				WHO/IUIS	viewallergen.php?aid=259	
Cyn d 1.0105				WHO/IUIS	viewallergen.php?aid=259	
Cyn d 1.0106				WHO/IUIS	viewallergen.php?aid=259	
Cyn d 1.0107				WHO/IUIS	viewallergen.php?aid=259	
Cyn d 22.0101				WHO/IUIS	viewallergen.php?aid=262	
Dac g 5.0101				WHO/IUIS	viewallergen.php?aid=270	
Dau c 1.0401				WHO/IUIS	viewallergen.php?aid=271	
Den n 1.0101				WHO/IUIS	viewallergen.php?aid=273	
Der f 1.0107				WHO/IUIS	viewallergen.php?aid=274	
